EMPLOYEE_ID,FIRST_NAME,LAST_NAME,DEPARTMENT,POSITION,HIRE_DATE,SALARY,MANAGER_ID,CREATED_AT
101,John,Smith,Sales,Manager,2015-01-15,150000.00,,2025-06-01 07:14:06.950
201,Sarah,Johnson,Marketing,Manager,2016-03-20,145000.00,,2025-06-01 07:14:06.950
301,Michael,Brown,HR,Manager,2017-06-10,140000.00,,2025-06-01 07:14:06.950
401,Emily,Davis,IT,Manager,2015-11-05,160000.00,,2025-06-01 07:14:06.950
501,David,Wilson,Finance,Manager,2016-08-15,155000.00,,2025-06-01 07:14:06.950
601,Lisa,Anderson,Operations,Manager,2017-02-28,135000.00,,2025-06-01 07:14:06.950
701,Robert,Taylor,Customer Service,Manager,2018-04-12,130000.00,,2025-06-01 07:14:06.950
801,Jennifer,Martinez,Product,Manager,2016-09-30,165000.00,,2025-06-01 07:14:06.950
901,William,Thomas,Legal,Manager,2017-12-01,170000.00,,2025-06-01 07:14:06.950
1001,Elizabeth,White,R&D,Manager,2015-07-22,175000.00,,2025-06-01 07:14:06.950
102,James,Harris,Sales,Director,2018-03-15,120000.00,101,2025-06-01 07:14:06.950
103,Mary,Martin,Sales,Specialist,2019-05-20,85000.00,101,2025-06-01 07:14:06.950
104,Richard,Thompson,Sales,Analyst,2020-01-10,75000.00,101,2025-06-01 07:14:06.950
105,Patricia,Garcia,Sales,Coordinator,2021-02-28,65000.00,101,2025-06-01 07:14:06.950
202,Joseph,Robinson,Marketing,Director,2018-06-15,125000.00,201,2025-06-01 07:14:06.950
203,Barbara,Clark,Marketing,Specialist,2019-08-20,90000.00,201,2025-06-01 07:14:06.950
204,Charles,Rodriguez,Marketing,Analyst,2020-03-10,80000.00,201,2025-06-01 07:14:06.950
205,Susan,Lewis,Marketing,Coordinator,2021-04-28,70000.00,201,2025-06-01 07:14:06.950
302,Thomas,Lee,HR,Director,2018-09-15,115000.00,301,2025-06-01 07:14:06.950
303,Jessica,Walker,HR,Specialist,2019-11-20,85000.00,301,2025-06-01 07:14:06.950
304,Christopher,Hall,HR,Analyst,2020-05-10,75000.00,301,2025-06-01 07:14:06.950
305,Sarah,Allen,HR,Coordinator,2021-06-28,65000.00,301,2025-06-01 07:14:06.950
402,Daniel,Young,IT,Director,2018-12-15,130000.00,401,2025-06-01 07:14:06.950
403,Karen,Hernandez,IT,Specialist,2019-02-20,95000.00,401,2025-06-01 07:14:06.950
404,Paul,King,IT,Analyst,2020-07-10,85000.00,401,2025-06-01 07:14:06.950
405,Nancy,Wright,IT,Coordinator,2021-08-28,75000.00,401,2025-06-01 07:14:06.950
502,Mark,Lopez,Finance,Director,2018-03-15,125000.00,501,2025-06-01 07:14:06.950
503,Betty,Hill,Finance,Specialist,2019-05-20,90000.00,501,2025-06-01 07:14:06.950
504,Donald,Scott,Finance,Analyst,2020-09-10,80000.00,501,2025-06-01 07:14:06.950
505,Sandra,Green,Finance,Coordinator,2021-10-28,70000.00,501,2025-06-01 07:14:06.950
